SECTION,Division,Group,Class,Sub Class,Lowest Code,Full Code,Description,Section Description,Division Description,Group Description,Class Description,Sub Class Description,Broad Industry Group
A,NA,NA,NA,NA,A,NA,"AGRICULTURE, FORESTRY AND FISHING","AGRICULTURE, FORESTRY AND FISHING",NA,NA,NA,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,NA,NA,NA,01,01000,"Crop and animal production, hunting and related service activities","AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",NA,NA,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.1,NA,NA,01.1,01100,Growing of non-perennial crops,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,NA,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.1,01.11,NA,01.11,01110,"Growing of cereals (except rice), leguminous crops and oil seeds","AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,"Growing of cereals (except rice), leguminous crops and oil seeds",NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.1,01.12,NA,01.12,01120,Growing of rice,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,Growing of rice,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.1,01.13,NA,01.13,01130,"Growing of vegetables and melons, roots and tubers","AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,"Growing of vegetables and melons, roots and tubers",NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.1,01.14,NA,01.14,01140,Growing of sugar cane,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,Growing of sugar cane,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.1,01.15,NA,01.15,01150,Growing of tobacco,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,Growing of tobacco,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.1,01.16,NA,01.16,01160,Growing of fibre crops,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,Growing of fibre crops,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.1,01.19,NA,01.19,01190,Growing of other non-perennial crops,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,Growing of other non-perennial crops,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.2,NA,NA,01.2,01200,Growing of perennial crops,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,NA,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.2,01.21,NA,01.21,01210,Growing of grapes,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of grapes,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.2,01.22,NA,01.22,01220,Growing of tropical and subtropical fruits,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of tropical and subtropical fruits,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.2,01.23,NA,01.23,01230,Growing of citrus fruits,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of citrus fruits,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.2,01.24,NA,01.24,01240,Growing of pome fruits and stone fruits,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of pome fruits and stone fruits,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.2,01.25,NA,01.25,01250,Growing of other tree and bush fruits and nuts,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of other tree and bush fruits and nuts,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.2,01.26,NA,01.26,01260,Growing of oleaginous fruits,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of oleaginous fruits,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.2,01.27,NA,01.27,01270,Growing of beverage crops,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of beverage crops,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.2,01.28,NA,01.28,01280,"Growing of spices, aromatic, drug and pharmaceutical crops","AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,"Growing of spices, aromatic, drug and pharmaceutical crops",NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.2,01.29,NA,01.29,01290,Growing of other perennial crops,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of other perennial crops,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.3,NA,NA,01.3,01300,Plant propagation,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Plant propagation,NA,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.3,01.30,NA,01.30,01300,Plant propagation,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Plant propagation,Plant propagation,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.4,NA,NA,01.4,01400,Animal production,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Animal production,NA,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.4,01.41,NA,01.41,01410,Raising of dairy cattle,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Animal production,Raising of dairy cattle,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.4,01.42,NA,01.42,01420,Raising of other cattle and buffaloes,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Animal production,Raising of other cattle and buffaloes,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.4,01.43,NA,01.43,01430,Raising of horses and other equines,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Animal production,Raising of horses and other equines,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.4,01.44,NA,01.44,01440,Raising of camels and camelids,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Animal production,Raising of camels and camelids,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.4,01.45,NA,01.45,01450,Raising of sheep and goats,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Animal production,Raising of sheep and goats,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.4,01.46,NA,01.46,01460,Raising of swine/pigs,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Animal production,Raising of swine/pigs,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.4,01.47,NA,01.47,01470,Raising of poultry,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Animal production,Raising of poultry,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.4,01.49,NA,01.49,01490,Raising of other animals,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Animal production,Raising of other animals,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.5,NA,NA,01.5,01500,Mixed farming,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Mixed farming,NA,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.5,01.50,NA,01.50,01500,Mixed farming,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Mixed farming,Mixed farming,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.6,NA,NA,01.6,01600,Support activities to agriculture and post-harvest crop activities,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Support activities to agriculture and post-harvest crop activities,NA,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.6,01.61,NA,01.61,01610,Support activities for crop production,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Support activities to agriculture and post-harvest crop activities,Support activities for crop production,NA,"AGRICULTURE, FORESTRY AND FISHING"
